Strain Name	Virus Species	Virus Genus	Virus Family	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	Complete Sequence	class_human_host	class_pathogenic	class_intersect
Bat-CoV/P.kuhlii/Italy/206645-41/2011	-N/A-	Alphacoronavirus	Coronaviridae	MH938448	27862	2011	Bat	Pipistrellus kuhlii	Italy	genomic RNA	Yes	0	0	0
6610	-N/A-	Alphacoronavirus	Coronaviridae	MN611518	28751	03/2018	Bat	Miniopterus pusillus	China	genomic RNA	Yes	0	0	0
BtMf-GD2012	Miniopterus bat coronavirus HKU8	Alphacoronavirus	Coronaviridae	KJ473797	28758	2012	Bat	Miniopterus fuliginosus	China	genomic RNA	Yes	0	0	0
AFCD77	Miniopterus bat coronavirus HKU8	Alphacoronavirus	Coronaviridae	EU420139	28773	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	Yes	0	0	0
AFCD77	Miniopterus bat coronavirus HKU8	Alphacoronavirus	Coronaviridae	NC_010438*	28773	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	Yes	0	0	0
BtMf-FJ2012	Miniopterus bat coronavirus HKU8	Alphacoronavirus	Coronaviridae	KJ473799	28765	2012	Bat	Miniopterus fuliginosus	China	genomic RNA	Yes	0	0	0
BtMf-HeN2013	Miniopterus bat coronavirus HKU8	Alphacoronavirus	Coronaviridae	KJ473800	28735	2013	Bat	Miniopterus fuliginosus	China	genomic RNA	Yes	0	0	0
BtMf-HuB2013	Miniopterus bat coronavirus HKU8	Alphacoronavirus	Coronaviridae	KJ473798	28755	2013	Bat	Miniopterus fuliginosus	China	genomic RNA	Yes	0	0	0
Bat-CoV/P.kuhlii/Italy/206679-3/2010	-N/A-	Alphacoronavirus	Coronaviridae	MH938450	28146	2010	Bat	Pipistrellus kuhlii	Italy	genomic RNA	Yes	0	0	0
Bat-CoV/P.kuhlii/Italy/3398-19/2015	-N/A-	Alphacoronavirus	Coronaviridae	MH938449	28128	2015	Bat	Pipistrellus kuhlii	Italy	genomic RNA	Yes	0	0	0
BtNv-SC2013	-N/A-	Alphacoronavirus	Coronaviridae	KJ473809	27783	2013	Bat	Nyctalus velutinus	China	genomic RNA	Yes	0	0	0
BtNv-SC2013	-N/A-	Alphacoronavirus	Coronaviridae	NC_028833*	27783	2013	Bat	Nyctalus velutinus	China	genomic RNA	Yes	0	0	0
BtMs-GS2013	-N/A-	Alphacoronavirus	Coronaviridae	KJ473810	27576	2013	Bat	Myotis sp.	China	genomic RNA	Yes	0	0	0
BtRf-HuB2013	-N/A-	Alphacoronavirus	Coronaviridae	KJ473807	27608	2013	Bat	Rhinolophus ferrumequinum	China	genomic RNA	Yes	0	0	0
BtRf-HuB2013	-N/A-	Alphacoronavirus	Coronaviridae	NC_028814*	27608	2013	Bat	Rhinolophus ferrumequinum	China	genomic RNA	Yes	0	0	0
AFCD62	-N/A-	Alphacoronavirus	Coronaviridae	EU420138	28326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	Yes	0	0	0
AFCD62	Bat coronavirus 1A	Alphacoronavirus	Coronaviridae	NC_010437*	28326	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	Yes	0	0	0
161454	-N/A-	Alphacoronavirus	Coronaviridae	MN611524	28316	03/2018	Bat	Miniopterus schreibersii	China	genomic RNA	Yes	0	0	0
BtMf-AH2011	Bat coronavirus 1A	Alphacoronavirus	Coronaviridae	KJ473795	28310	2011	Bat	Miniopterus fuliginosus	China	genomic RNA	Yes	0	0	0
BtMf-JX2012	Bat coronavirus 1A	Alphacoronavirus	Coronaviridae	KJ473796	28311	2012	Bat	Miniopterus fuliginosus	China	genomic RNA	Yes	0	0	0
AFCD307	Bat coronavirus 1B	Alphacoronavirus	Coronaviridae	EU420137	28476	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	Yes	0	0	0
WA2028	-N/A-	Alphacoronavirus	Coronaviridae	MK472068	27435	2018	Unknown	microbat	Australia	genomic RNA	Yes	0	0	0
WA3301	-N/A-	Alphacoronavirus	Coronaviridae	MK472069	27404	2018	Unknown	microbat	Australia	genomic RNA	Yes	0	0	0
WAAlc1	-N/A-	Alphacoronavirus	Coronaviridae	MK472071	27535	2018	Unknown	microbat	Australia	genomic RNA	Yes	0	0	0
WA1087	-N/A-	Alphacoronavirus	Coronaviridae	MK472067	28170	2018	Unknown	microbat	Australia	genomic RNA	Yes	0	0	0
WA3607	-N/A-	Alphacoronavirus	Coronaviridae	MK472070	28009	2018	Unknown	microbat	Australia	genomic RNA	Yes	0	0	0
camel/Jeddah/D33(a)/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368902	27396	12/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/Jd1(a)/2015	-N/A-	Alphacoronavirus	Coronaviridae	KT368909	27386	01/2015	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/Jd6(a)/2015	-N/A-	Alphacoronavirus	Coronaviridae	KT368910	27387	01/2015	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/D43(a)/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368904	27395	12/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/D46(a)/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368905	27397	12/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/Jd28/2015	-N/A-	Alphacoronavirus	Coronaviridae	KT368912	27395	01/2015	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/Jd8/2015	-N/A-	Alphacoronavirus	Coronaviridae	KT368911	27393	01/2015	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Taif/T91(a)/2015	-N/A-	Alphacoronavirus	Coronaviridae	KT368913	27388	04/2015	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Taif/T96/2015	-N/A-	Alphacoronavirus	Coronaviridae	KT368914	27392	04/2015	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/N62(a)/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368900	27390	11/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/Jd29/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368892	27391	06/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/Jd55/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368893	27386	06/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/Jd63/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368894	27397	06/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Taif/T157(a)/2015	-N/A-	Alphacoronavirus	Coronaviridae	KT368915	27392	03/2015	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/D38(a)/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368903	27384	12/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/D50(a)/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368906	27395	12/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/O100/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368897	27395	10/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/O23(a)/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368895	27396	10/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/O47(a)/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368896	27389	10/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Abu Dhabi/B38	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	MF593473	27389	2015	Camel	camel	United Arab Emirates	genomic RNA	Yes	0	0	0
camel/Jeddah/N60/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368899	27390	11/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/N38/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368898	27395	11/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Jeddah/N68(a)/2014	-N/A-	Alphacoronavirus	Coronaviridae	KT368901	27396	11/2014	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Riyadh/Ry141/2015	-N/A-	Alphacoronavirus	Coronaviridae	KT368907	27395	03/2015	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Riyadh/Ry141/2015	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	NC_028752*	27395	03/2015	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Riyadh/Ry159(a)/2015	-N/A-	Alphacoronavirus	Coronaviridae	KT368908	27395	03/2015	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
Camel229E-CoV/AC04/KSA/2014	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KT253327	27241	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	Yes	0	0	0
camel/Taif/T193/2015	-N/A-	Alphacoronavirus	Coronaviridae	KT368916	27390	03/2015	Camel	camel	Saudi Arabia	genomic RNA	Yes	0	0	0
Camel229E-CoV/JC49/KSA/2014	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KT253325	27193	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	Yes	0	0	0
Camel229E-CoV/JC52/KSA/2014	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KT253326	27193	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	Yes	0	0	0
Camel229E-CoV/JC50/KSA/2014	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KT253324	27395	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	Yes	0	0	0
Camel229E-CoV/JC50_HUH7/KSA/2014	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KT253328	27270	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	Yes	0	0	0
CA08-1/2008	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	JQ410000	27374	2008	Camel	Vicugna pacos	USA	genomic RNA	Yes	0	0	0
Camel229E-CoV/KCSP1/KEN/2015	Human coronavirus 229E	Alphacoronavirus	Coronaviridae	KU291449	27164	2015	Camel	Camelus dromedarius	Kenya	genomic RNA	Yes	0	0	0
